id_cliente,ingreso_mensual,ticket_promedio,antigüedad_meses,llamadas_soporte,satisfaccion,descuento_usado,genero,region,fecha_ultima_compra,num_productos,gasto_total_anual,edad,churn
CLI-10041,382.0,"$1,000",33.0,2.0,,42.7%,No binario,Bogotá,2025/01/08,4.0,77.34445610529858,33,0
CLI-10042,339.0,"1,000",52.0,1.0,5.0,23.9%,male,MEDELLIN,28/04/2025,1.0,923.2230501133483,26,0
CLI-10043,164.0,"1,000",,1.0,4.0,15.7%,Female,cucuta,04/06/2024,5.0,733.5739650550142,34,0
CLI-10044,281.0,"1,000",1.0,2.0,1.0,28.8%,Female,cali,2024-08-21,9.0,528.1714323013921,15,0
CLI-10045,262.0,"$1,000",47.0,1.0,5.0,6.3,Femenino,MEDELLIN,2025/04/25,2.0,114.44856244169952,5,0
CLI-10046,279.0,"$1,000",28.0,1.0,5.0,15.4%,Masculino,Cartagena,23/10/2024,2.0,613.0051097324073,37,0
CLI-10047,413.0,"$1,000",18.0,3.0,,25.2,Female,Cali,2024-08-04,2.0,831.7138831632351,18,1
CLI-10048,280.0,"$1,000",11.0,1.0,2.0,12.7,Otro,cali,2024-09-19,4.0,1825.25966286257,68,0
CLI-10049,,"$1,000",4.0,3.0,0.0,2.0%,M,cucuta,22-Feb-2025,5.0,331.2870413245555,36,0
CLI-10050,255.0,"1,000",16.0,2.0,1.0,29.3%,Masculino,BARRANQUILLA,12/04/2025,10.0,450.940367158658,52,0
CLI-10051,291.0,"$1,000",2.0,3.0,1.0,20.1,Prefiero no decirlo,bogota,2024/06/24,8.0,89.40107739474972,46,0
CLI-10052,357.0,"$1,000",,1.0,4.0,19.5%,Male,cucuta,2025/01/17,1.0,794.6073528076706,26,0
CLI-10053,102.0,"1,000",45.0,4.0,2.0,49.8%,female,Bogotá,19-Jul-2024,0.0,781.2875210903327,35,0
CLI-10054,202.0,"$1,000",5.0,1.0,3.0,5.6%,Female,Cartagena,,6.0,535.2280453344936,53,0
CLI-10055,185.0,"$1,000",41.0,4.0,4.0,7.7%,H,bogota,27-Aug-2024,7.0,926.4300203853575,52,1
CLI-10056,167.0,"$1,000",3.0,1.0,3.0,43.8,Male,Medellin,05-Mar-2025,4.0,233.4006631684766,54,0
CLI-10057,207.0,"$1,000",5.0,2.0,4.0,6.5,Male,cucuta,24-Oct-2024,9.0,346.2990798466411,32,0
CLI-10058,600.0,"$1,000",3.0,0.0,1.0,45.9%,Female,MEDELLIN,2024-11-09,9.0,355.89768778081367,50,0
CLI-10059,146.0,"1,000",9.0,1.0,1.0,33.6,F,cucuta,15/03/2025,2.0,870.8301189621669,32,0
CLI-10060,437.0,"$1,000",35.0,0.0,2.0,26.4%,Female,Medellin,,3.0,884.6178163206756,57,0
CLI-10061,89.0,"$1,000",42.0,3.0,2.0,13.9,Femenino,Cali,15/12/2024,4.0,503.90780273432296,56,1
CLI-10062,200.0,"$1,000",12.0,2.0,,18.0,female,cucuta,06-Oct-2024,7.0,485.7587223200872,21,0
CLI-10063,270.0,"1,000",19.0,2.0,4.0,41.3%,Male,carthagena,20/05/2025,2.0,593.269065712532,46,1
CLI-10064,348.0,"$1,000",1.0,3.0,1.0,2.9,male,Medellin,18-Apr-2025,3.0,318.7637298969701,25,1
CLI-10065,375.0,"1,000",,2.0,1.0,38.4,M,carthagena,2024-09-16,7.0,1046.4790809062772,54,1
CLI-10066,394.0,"$1,000",29.0,0.0,2.0,41.4%,male,Barranquilla,2024/06/03,3.0,294.0195098134015,25,1
CLI-10067,,"$1,000",9.0,1.0,,35.3,Masculino,bogota,2025-04-20,4.0,544.9450053441464,46,0
CLI-10068,185.0,"$1,000",25.0,1.0,1.0,2.7%,No binario,Medellin,23-May-2025,8.0,265.76341599903014,53,0
CLI-10069,409.0,"$1,000",9.0,4.0,1.0,37.1%,H,Medellin,27-Feb-2025,7.0,782.7243389336946,43,1
CLI-10070,86223.0,"$1,000",13.0,3.0,3.0,36.2%,M,Barranquilla,2025/05/17,6.0,376.2604742473606,54,0
CLI-10071,114.0,"1,000",17.0,6.0,1.0,0.7%,female,Cucuta,2025/03/04,2.0,1714.0172398334892,46,1
CLI-10072,124.0,"$1,000",11.0,2.0,1.0,44.6%,Mujer,BARRANQUILLA,22/09/2024,4.0,369.2526573750548,65,0
CLI-10073,141.0,"$1,000",9.0,1.0,5.0,6.6%,Mujer,MEDELLIN,,4.0,777.5571310133348,25,0
CLI-10074,330.0,"$1,000",9.0,1.0,,48.0,H,BARRANQUILLA,2024/10/14,10.0,259.47331889175217,36,0
CLI-10075,267.0,"$1,000",2.0,1.0,1.0,3.5%,Male,Barranquilla,2025/01/06,5.0,325.3601761754765,13,1
CLI-10076,370.0,"$1,000",21.0,1.0,1.0,11.9,Masculino,cali,06/04/2025,4.0,391.72743188948317,37,1
CLI-10077,189.0,"$1,000",2.0,4.0,3.0,34.5%,Masculino,Medellin,2024/11/18,9.0,515.9271996206094,24,1
CLI-10078,269.0,"$1,000",4.0,1.0,4.0,6.9%,M,carthagena,2024-06-14,7.0,239.23506367836563,21,0
CLI-10079,356.0,"$1,000",9.0,3.0,4.0,9.2,female,BARRANQUILLA,17/03/2025,5.0,270.5458601036057,18,1
CLI-10080,203.0,"$1,000",9.0,0.0,4.0,0.6%,Female,cali,15/11/2024,6.0,429.44622565074974,34,1
CLI-10081,322.0,"$1,000",8.0,3.0,1.0,41.3%,male,MEDELLIN,,9.0,533.3021829386518,45,1
CLI-10082,164.0,"$1,000",31.0,1.0,2.0,1.9,M,bogota,22-Jan-2025,9.0,393.3063245764379,49,1
CLI-10083,197.0,"$1,000",6.0,1.0,4.0,31.6%,Femenino,MEDELLIN,27/11/2024,3.0,355.8130308532269,57,0
CLI-10084,195.0,"1,000",37.0,4.0,,29.1%,F,Cartagena,01-Apr-2025,8.0,159.30770185775134,56,0
CLI-10085,89762.0,"$1,000",15.0,5.0,2.0,25.6%,Female,Bogotá,23-Mar-2025,4.0,572.6494335963233,25,0
CLI-10086,328.0,"1,000",14.0,2.0,5.0,18.8%,Female,Bogotá,18-May-2025,7.0,727.7839452443643,30,0
CLI-10087,185.0,"$1,000",17.0,2.0,5.0,15.0,female,cucuta,2024/09/23,5.0,790.6349320463852,44,0
CLI-10088,247.0,"$1,000",4.0,0.0,4.0,47.8%,Female,Medellin,05/07/2024,9.0,448.13452782540264,45,0
CLI-10089,327.0,"$1,000",16.0,3.0,4.0,39.3%,M,bogota,2024-12-20,7.0,264.45368776220334,62,0
CLI-10090,320.0,"$1,000",29.0,1.0,5.0,46.1%,Otro,cucuta,18-Oct-2024,2.0,322.0636083822451,37,1
CLI-10091,365.0,"1,000",20.0,2.0,4.0,36.7%,Femenino,cali,2024/06/07,7.0,449.44072192769084,53,1
CLI-10092,231.0,"1,000",,0.0,3.0,41.5%,M,Bogotá,28-Aug-2024,5.0,398.1657820079212,39,0
CLI-10093,190.0,"$1,000",8.0,5.0,2.0,48.2,F,cali,2025/03/04,7.0,223.26858711791039,47,1
CLI-10094,,"1,000",0.0,2.0,2.0,22.7,M,Bogotá,22-Aug-2024,5.0,124.25769236057005,47,1
CLI-10095,89.0,"$1,000",8.0,3.0,5.0,45.3%,female,Medellin,2025-01-08,4.0,273.4377834299391,41,0
CLI-10096,103.0,"$1,000",2.0,2.0,2.0,2.2,male,cucuta,2024-06-16,7.0,332.3446836672644,27,0
CLI-10097,111.0,"1,000",11.0,0.0,4.0,5.4,female,Cúcuta,2024-06-29,5.0,500.8998930557425,46,0
CLI-10098,135.0,"$1,000",0.0,1.0,3.0,,Mujer,cali,17/05/2025,6.0,302.84512685601527,51,1
CLI-10099,311.0,"$1,000",49.0,4.0,,22.7%,Female,Cali,2024-07-13,3.0,338.3057123462589,43,1
CLI-10100,142.0,"1,000",7.0,55.0,3.0,21.9%,Mujer,BARRANQUILLA,2025-03-06,7.0,inf,0,0
CLI-10101,195.0,"1,000",25.0,1.0,1.0,26.9%,Masculino,Cartagena,07-Dec-2024,3.0,1207.931847712117,39,0
CLI-10102,534.0,"1,000",4.0,2.0,4.0,26.9%,M,carthagena,2024-09-01,4.0,359.0788756460468,52,0
CLI-10103,198.0,"$1,000",22.0,0.0,1.0,43.5%,Mujer,BARRANQUILLA,17-Apr-2025,4.0,136.44576363088518,27,0
CLI-10104,381.0,"1,000",7.0,4.0,1.0,17.3,Mujer,bogota,2025/05/27,4.0,249.8438339986157,57,0
CLI-10105,140.0,"$1,000",17.0,1.0,2.0,15.8%,No binario,Cucuta,2025/01/03,6.0,1430.2353063163323,32,0
CLI-10106,216.0,"$1,000",49.0,4.0,3.0,35.1%,Male,Cali,2024-11-01,6.0,1100.9060784243595,37,0
CLI-10107,,"$1,000",19.0,0.0,,32.4,Mujer,Cúcuta,2024-10-30,3.0,778.7745385674529,45,0
CLI-10108,200.0,"1,000",2.0,1.0,5.0,41.5%,No binario,Cúcuta,,3.0,659.2262627563758,28,0
CLI-10109,405.0,"1,000",40.0,2.0,5.0,15.5%,Femenino,MEDELLIN,2025-03-01,2.0,664.5254245117336,55,1
CLI-10110,87.0,"1,000",,1.0,2.0,0.3%,H,Barranquilla,15/09/2024,7.0,341.2864006171767,60,0
CLI-10111,318.0,"$1,000",35.0,1.0,5.0,47.2%,Masculino,carthagena,24-Mar-2025,6.0,740.3387511211998,25,0
CLI-10112,282.0,"$1,000",40.0,1.0,-1.0,2.2%,Mujer,Cali,19/12/2024,4.0,760.7832964374741,39,0
CLI-10113,171.0,"$1,000",5.0,1.0,1.0,34.0%,H,Cúcuta,2024-11-20,8.0,728.6010810690932,70,1
CLI-10114,103.0,"1,000",7.0,2.0,2.0,16.1,Masculino,Barranquilla,27/12/2024,4.0,265.3258977603896,58,1
CLI-10115,256.0,"$1,000",25.0,3.0,5.0,21.2%,F,Cucuta,29/03/2025,4.0,321.40509142076115,17,1
CLI-10116,178.0,"$1,000",1.0,2.0,3.0,41.9,male,Cucuta,2025/03/24,8.0,257.43472142604344,59,0
CLI-10117,281.0,"1,000",6.0,0.0,4.0,21.0,Female,cucuta,17-Jul-2024,5.0,810.666629305195,0,0
CLI-10118,248.0,"$1,000",7.0,4.0,4.0,7.2%,NB,MEDELLIN,2024-06-20,4.0,498.79347636235934,51,1
CLI-10119,640.0,"1,000",36.0,0.0,3.0,,No binario,carthagena,05-May-2025,13.0,530.8599040394431,29,0
CLI-10120,212.0,"$1,000",51.0,2.0,5.0,1.0%,Female,carthagena,2025-03-09,3.0,603.5890271409103,48,1
CLI-10121,132.0,"1,000",2.0,3.0,5.0,13.7%,Mujer,cali,,5.0,150.14206898107352,45,1
CLI-10122,272.0,"$1,000",12.0,0.0,3.0,26.9%,Mujer,MEDELLIN,20/04/2025,4.0,747.9241994803973,44,0
CLI-10123,279.0,"$1,000",23.0,2.0,4.0,21.9%,Prefiero no decirlo,Medellin,2024/11/17,4.0,276.27228672211953,50,0
CLI-10124,553.0,"$1,000",-7.0,1.0,4.0,31.0%,Mujer,Barranquilla,,7.0,294.42565361101254,34,0
CLI-10125,404.0,"$1,000",13.0,3.0,3.0,19.1%,female,Cucuta,2024-06-07,5.0,224.75162021657522,33,1
CLI-10126,303.0,"$1,000",4.0,3.0,,19.5%,Male,Cucuta,03/09/2024,3.0,426.6672397912814,55,0
CLI-10127,589.0,"$1,000",26.0,3.0,,17.4%,male,Cucuta,2024/08/31,6.0,384.99224227412117,42,0
CLI-10128,120.0,"$1,000",25.0,2.0,5.0,44.4,H,cucuta,2025/05/09,3.0,152.36188726653498,33,0
CLI-10129,167.0,"1,000",10.0,2.0,2.0,0.9%,Mujer,bogota,,9.0,115.31001005675782,39,1
CLI-10130,140.0,"$1,000",7.0,1.0,4.0,47.0,Otro,cucuta,2024-08-15,6.0,350.1090066457803,38,0
CLI-10131,194.0,"1,000",,3.0,5.0,17.9%,Prefiero no decirlo,BARRANQUILLA,10-Mar-2025,6.0,713.2077139017929,36,0
CLI-10132,107.0,"1,000",-1.0,0.0,4.0,18.2%,Female,bogota,,1.0,666.6227663232795,48,0
CLI-10133,358.0,"$1,000",14.0,3.0,2.0,36.3,Mujer,bogota,23/04/2025,6.0,812.7645435215594,28,1
CLI-10134,214.0,"1,000",37.0,4.0,5.0,,female,Medellin,2025/05/24,6.0,351.2731218618972,64,0
CLI-10135,101.0,"$1,000",2.0,3.0,1.0,30.8,F,Medellin,2024-09-08,5.0,314.9514161316775,45,1
CLI-10136,133.0,"$1,000",9.0,126.0,4.0,45.2,Femenino,bogota,29-Mar-2025,4.0,373.2547088518936,14,1
CLI-10137,295.0,"$1,000",38.0,2.0,2.0,42.3%,Masculino,Cali,01-Apr-2025,6.0,708.4907304692683,46,1
CLI-10138,405.0,"1,000",30.0,4.0,4.0,25.8,Femenino,BARRANQUILLA,2024/07/29,4.0,1247.4026761533012,28,0
CLI-10139,811.0,"$1,000",23.0,0.0,3.0,35.8,Femenino,Cali,2024-09-14,3.0,292.2903064330187,41,0
CLI-10140,1406.0,"$1,000",0.0,1.0,3.0,19.6,Masculino,Cartagena,15-Mar-2025,5.0,334.9345186288839,39,0
CLI-10141,314.0,"1,000",-12.0,3.0,,38.8,female,carthagena,23/07/2024,7.0,412.2523491741506,52,0
CLI-10142,135.0,"$1,000",6.0,7.0,3.0,8.5,Mujer,cali,2024/06/12,0.0,335.06360274562917,51,1
CLI-10143,68.0,"1,000",25.0,1.0,5.0,2.3%,Female,bogota,2025/01/02,7.0,268.67870248017385,45,0
CLI-10144,287.0,"1,000",4.0,4.0,5.0,27.0%,female,Cali,18-Dec-2024,1.0,369.45927254216986,70,1
CLI-10145,150.0,"1,000",0.0,0.0,3.0,10.8%,H,BARRANQUILLA,03-Oct-2024,6.0,231.95254325076326,31,0
CLI-10146,191.0,"1,000",12.0,1.0,5.0,36.4%,F,cali,09/04/2025,3.0,670.4164649745944,62,0
CLI-10147,169.0,"1,000",6.0,3.0,5.0,5.1%,H,BARRANQUILLA,2024-07-10,4.0,1131.9478925460369,62,0
CLI-10148,225.0,"$1,000",15.0,2.0,4.0,0.4,H,Cúcuta,17/04/2025,-1.0,330.7075408974689,47,0
CLI-10149,464.0,"1,000",5.0,2.0,3.0,33.8%,Femenino,Cúcuta,31/08/2024,7.0,1292.260780347615,48,1
CLI-10150,269.0,"1,000",26.0,1.0,1.0,25.0%,F,Cartagena,03/11/2024,4.0,374.07105228787674,56,1
CLI-10151,222.0,"1,000",12.0,1.0,3.0,47.6%,NB,bogota,15/04/2025,2.0,247.59701925822998,37,0
CLI-10152,131.0,"$1,000",5.0,1.0,2.0,12.4%,M,carthagena,2024/12/22,9.0,652.2566443909931,34,1
CLI-10153,90.0,"1,000",22.0,2.0,1.0,6.2%,Mujer,Cali,2025/02/15,4.0,211.2533416171435,35,1
CLI-10154,183.0,"$1,000",42.0,3.0,,1.2%,female,cali,24/06/2024,7.0,624.3818443273046,46,0
CLI-10155,237.0,"$1,000",41.0,3.0,,22.2%,Otro,carthagena,2024/11/18,6.0,481.9041604988612,34,0
CLI-10156,707.0,"$1,000",68.0,1.0,4.0,5.0%,H,Cúcuta,18-Jan-2025,2.0,304.1218729174269,31,1
CLI-10157,265.0,"$1,000",21.0,0.0,5.0,38.8%,male,carthagena,2025/02/25,4.0,282.4271879098788,26,1
CLI-10158,441.0,"1,000",17.0,3.0,3.0,3.6%,F,Medellin,2025/04/10,5.0,218.99692374205077,27,1
CLI-10159,181.0,"$1,000",1.0,1.0,4.0,46.0%,NB,cali,29/11/2024,6.0,830.5729964901626,32,0
CLI-10160,120.0,"1,000",4.0,2.0,4.0,27.0,Male,Cali,28/11/2024,8.0,345.1886431153788,32,0
CLI-10161,137.0,"1,000",6.0,0.0,0.0,34.8,Female,Barranquilla,2024-06-19,4.0,501.6251651025216,43,1
CLI-10162,158.0,"$1,000",13.0,2.0,5.0,6.5,No binario,carthagena,,5.0,400.3331568767964,30,0
CLI-10163,878.0,"1,000",31.0,2.0,5.0,4.5%,female,cucuta,2024/12/18,6.0,347.7640966786968,49,1
CLI-10164,149.0,"$1,000",10.0,1.0,2.0,17.7%,Femenino,cali,2025-01-17,4.0,506.98041534486845,71,0
CLI-10165,405.0,"1,000",5.0,2.0,5.0,26.0%,No binario,Cali,26-Feb-2025,4.0,577.3216519489531,60,0
CLI-10166,142.0,"1,000",8.0,1.0,1.0,28.8%,Masculino,Cucuta,08-Oct-2024,3.0,444.50352417610765,26,0
CLI-10167,428.0,"$1,000",0.0,3.0,1.0,16.5%,H,bogota,09-Apr-2025,3.0,353.46119914109386,37,0
CLI-10168,308.0,"1,000",5.0,5.0,3.0,13.6%,Male,cali,2025-05-30,6.0,188.54538979949584,22,0
CLI-10169,223.0,"$1,000",0.0,4.0,4.0,49.1%,female,cucuta,2024/07/08,7.0,264.4193666116242,44,0
CLI-10170,239.0,"$1,000",-12.0,2.0,3.0,13.6%,H,Cucuta,20/05/2025,3.0,325.6229489449725,45,0
CLI-10171,165.0,"1,000",47.0,1.0,4.0,6.9%,M,Cúcuta,2025-03-10,4.0,407.9869344135453,44,1
CLI-10172,320.0,"$1,000",9.0,2.0,,18.0%,Masculino,Cucuta,2024/11/10,12.0,119.41849207108471,26,1
CLI-10173,186.0,"1,000",25.0,1.0,5.0,15.2,F,Medellin,23-Mar-2025,3.0,622.426420150066,32,0
CLI-10174,117.0,"$1,000",20.0,1.0,5.0,21.1%,F,Bogotá,30/09/2024,5.0,505.10254815327613,56,0
CLI-10175,114.0,"$1,000",17.0,2.0,1.0,31.2%,F,Cucuta,12-Nov-2024,9.0,268.44277999569255,47,1
CLI-10176,271.0,"1,000",32.0,1.0,3.0,30.2%,Femenino,Barranquilla,2025-05-05,7.0,212.4281535471004,28,0
CLI-10177,631.0,"$1,000",15.0,0.0,2.0,34.9%,NB,Medellin,15-Dec-2024,6.0,249.47380078726465,22,0
CLI-10178,269.0,"$1,000",-12.0,1.0,4.0,7.8%,female,Barranquilla,2024/08/02,7.0,159.71991988679937,40,0
CLI-10179,228.0,"$1,000",7.0,0.0,3.0,2.3%,Femenino,Cúcuta,2025/01/12,5.0,318.13329988850575,40,0
CLI-10180,290.0,"1,000",24.0,5.0,,39.5%,male,Barranquilla,2024/09/27,4.0,355.79504269997005,22,0
CLI-10181,536.0,"$1,000",3.0,4.0,2.0,10.9%,H,Cartagena,2024-11-02,4.0,767.3364070162178,37,1
CLI-10182,279.0,"$1,000",22.0,4.0,2.0,15.8%,M,Barranquilla,15/12/2024,4.0,562.2840204877537,34,0
CLI-10183,191.0,"$1,000",69.0,1.0,1.0,22.8,Female,Barranquilla,06-Nov-2024,4.0,965.827232218253,33,1
CLI-10184,475.0,"$1,000",5.0,1.0,,35.8%,Prefiero no decirlo,cucuta,06/12/2024,6.0,436.39709640759236,35,0
CLI-10185,316.0,"1,000",24.0,2.0,,8.2%,male,cucuta,,3.0,213.1978580827105,46,0
CLI-10186,615.0,"$1,000",25.0,2.0,5.0,45.1,Male,cali,2024-12-24,5.0,1364.4233689631808,43,0
CLI-10187,273.0,"$1,000",1.0,1.0,3.0,16.1%,Mujer,Cúcuta,01/01/2025,5.0,322.79404429760166,60,0
CLI-10188,117.0,"1,000",20.0,3.0,5.0,49.1,NB,carthagena,2024-08-21,9.0,136.7387034144031,44,0
CLI-10189,108.0,"$1,000",12.0,2.0,1.0,14.3%,Mujer,bogota,11/09/2024,3.0,470.69003335754354,54,1
CLI-10190,659.0,"$1,000",11.0,3.0,5.0,36.3,M,Cucuta,2024/11/04,6.0,132.56894287720598,22,0
CLI-10191,688.0,"$1,000",37.0,0.0,3.0,18.8%,female,carthagena,,2.0,380.2227286055315,44,0
CLI-10192,220.0,"$1,000",6.0,0.0,4.0,41.8%,H,Cucuta,2024-10-15,5.0,289.2500804628394,36,0
CLI-10193,194.0,"1,000",69.0,2.0,1.0,23.1,Mujer,Cúcuta,02/06/2024,4.0,582.0656274711381,52,1
CLI-10194,588.0,"1,000",12.0,166.0,4.0,43.5%,Femenino,cucuta,2024/07/31,8.0,786.4077416319415,45,0
CLI-10195,126.0,"1,000",1.0,168.0,2.0,37.7%,Femenino,BARRANQUILLA,08-Mar-2025,3.0,321.3921275660289,65,1
CLI-10196,143.0,"1,000",1.0,1.0,5.0,29.3,male,Bogotá,2025-02-19,5.0,305.7292924316058,28,0
CLI-10197,360.0,"$1,000",,1.0,4.0,12.5,NB,Medellin,2024/12/02,4.0,685.8804042418146,31,0
CLI-10198,193.0,"$1,000",26.0,2.0,5.0,,Male,bogota,2024/10/03,3.0,235.86553628251613,47,0
CLI-10199,244.0,"1,000",21.0,3.0,7.0,49.6%,male,Medellin,2024-09-29,5.0,422.05179018351816,40,0
CLI-10200,222.0,"1,000",1.0,4.0,4.0,46.3%,F,BARRANQUILLA,2024-08-20,2.0,589.3643434130021,27,0
CLI-10201,300.0,"1,000",18.0,1.0,2.0,6.9,female,cucuta,2024/11/14,7.0,231.96389461108848,47,1
CLI-10202,569.0,"$1,000",99.0,1.0,2.0,10.2%,Female,carthagena,,7.0,326.8657323075158,34,1
CLI-10203,258.0,"1,000",25.0,1.0,5.0,5.3%,Masculino,cali,18-May-2025,3.0,432.954726486482,48,0
CLI-10204,360.0,"1,000",5.0,1.0,4.0,10.1%,Masculino,Barranquilla,,8.0,1024.039060778472,16,0
CLI-10205,72.0,"1,000",26.0,4.0,5.0,14.5%,M,Barranquilla,,6.0,173.01325449319748,37,0
CLI-10206,238.0,"1,000",1.0,1.0,4.0,41.9%,Femenino,cali,,5.0,363.4221225072712,44,0
CLI-10207,148.0,"$1,000",6.0,4.0,4.0,4.8%,M,BARRANQUILLA,14-Jun-2024,5.0,1040.6720105733807,44,1
CLI-10208,118.0,"$1,000",42.0,2.0,1.0,44.1%,No binario,cucuta,04-Oct-2024,3.0,796.2745319405562,52,0
CLI-10209,144.0,"$1,000",27.0,1.0,,,F,bogota,04-Jan-2025,5.0,332.65345958236554,38,0
CLI-10210,200.0,"$1,000",27.0,3.0,2.0,14.1%,female,Cali,,6.0,383.78343612400766,48,0
CLI-10211,424.0,"1,000",19.0,1.0,2.0,22.8%,female,bogota,2025/04/20,4.0,556.4625102758769,40,0
CLI-10212,110.0,"$1,000",36.0,1.0,1.0,26.5%,Female,Cucuta,2025-01-10,4.0,564.5842062053312,52,0
CLI-10213,249.0,"$1,000",6.0,4.0,1.0,10.3,F,MEDELLIN,2025/05/25,6.0,1058.5957608721985,18,0
CLI-10214,183.0,"$1,000",49.0,1.0,2.0,36.6%,NB,Cartagena,08/04/2025,4.0,890.7123581352383,2,0
